n,B
1000,36
1000,41
1000,63
1000,56
1000,2
1000,20
1000,41
1000,59
1000,56
1000,22
1000,5
1000,86
1000,17
1000,16
1000,70
1000,32
1000,40
1000,22
1000,32
1000,54
1000,20
1000,28
1000,22
1000,33
1000,9
1000,81
1000,63
1000,35
1000,32
1000,35
1000,37
1000,38
1000,68
1000,47
1000,16
1000,48
1000,44
1000,56
1000,6
1000,33
1000,49
1000,68
1000,40
1000,48
1000,50
1000,5
1000,30
1000,37
1000,18
1000,31
2000,52
2000,42
2000,78
2000,53
2000,80
2000,26
2000,53
2000,46
2000,78
2000,39
2000,21
2000,113
2000,42
2000,145
2000,77
2000,78
2000,39
2000,61
2000,109
2000,24
2000,73
2000,24
2000,14
2000,72
2000,51
2000,15
2000,55
2000,135
2000,55
2000,44
2000,15
2000,73
2000,27
2000,25
2000,90
2000,36
2000,64
2000,80
2000,54
2000,109
2000,49
2000,57
2000,46
2000,81
2000,35
2000,48
2000,20
2000,9
2000,78
2000,50
3000,47
3000,24
3000,47
3000,51
3000,118
3000,60
3000,76
3000,71
3000,24
3000,24
3000,44
3000,74
3000,44
3000,104
3000,101
3000,18
3000,40
3000,137
3000,65
3000,85
3000,48
3000,27
3000,13
3000,31
3000,38
3000,60
3000,132
3000,137
3000,57
3000,56
3000,86
3000,50
3000,35
3000,50
3000,124
3000,57
3000,60
3000,36
3000,91
3000,111
3000,79
3000,115
3000,15
3000,32
3000,42
3000,68
3000,35
3000,76
3000,19
3000,24
4000,38
4000,60
4000,85
4000,38
4000,73
4000,93
4000,92
4000,25
4000,59
4000,17
4000,53
4000,49
4000,120
4000,25
4000,84
4000,101
4000,43
4000,28
4000,97
4000,93
4000,35
4000,132
4000,59
4000,26
4000,85
4000,49
4000,88
4000,6
4000,48
4000,73
4000,46
4000,61
4000,40
4000,107
4000,65
4000,127
4000,113
4000,85
4000,68
4000,39
4000,120
4000,105
4000,125
4000,58
4000,48
4000,37
4000,60
4000,195
4000,83
4000,73
5000,105
5000,99
5000,45
5000,79
5000,145
5000,59
5000,52
5000,75
5000,100
5000,127
5000,18
5000,63
5000,130
5000,36
5000,86
5000,162
5000,113
5000,152
5000,105
5000,52
5000,51
5000,21
5000,65
5000,128
5000,110
5000,93
5000,138
5000,55
5000,50
5000,19
5000,55
5000,115
5000,114
5000,162
5000,45
5000,26
5000,49
5000,116
5000,67
5000,56
5000,85
5000,73
5000,67
5000,96
5000,78
5000,78
5000,55
5000,119
5000,85
5000,83
6000,60
6000,139
6000,128
6000,8
6000,181
6000,96
6000,111
6000,82
6000,84
6000,91
6000,95
6000,160
6000,66
6000,76
6000,130
6000,118
6000,68
6000,43
6000,33
6000,158
6000,93
6000,130
6000,258
6000,42
6000,61
6000,149
6000,126
6000,69
6000,84
6000,16
6000,149
6000,23
6000,56
6000,115
6000,117
6000,26
6000,24
6000,69
6000,140
6000,69
6000,127
6000,194
6000,127
6000,72
6000,61
6000,152
6000,48
6000,160
6000,142
6000,130
7000,92
7000,205
7000,27
7000,170
7000,121
7000,95
7000,66
7000,164
7000,55
7000,41
7000,12
7000,136
7000,58
7000,146
7000,18
7000,133
7000,180
7000,95
7000,116
7000,26
7000,72
7000,48
7000,22
7000,110
7000,170
7000,56
7000,74
7000,85
7000,150
7000,99
7000,108
7000,98
7000,161
7000,136
7000,69
7000,21
7000,86
7000,131
7000,43
7000,177
7000,210
7000,146
7000,65
7000,148
7000,220
7000,51
7000,65
7000,97
7000,182
7000,268
8000,181
8000,26
8000,180
8000,61
8000,92
8000,130
8000,27
8000,115
8000,117
8000,81
8000,107
8000,50
8000,117
8000,120
8000,153
8000,166
8000,64
8000,146
8000,173
8000,158
8000,214
8000,52
8000,9
8000,95
8000,168
8000,121
8000,98
8000,232
8000,163
8000,49
8000,25
8000,121
8000,54
8000,40
8000,40
8000,44
8000,99
8000,134
8000,242
8000,48
8000,98
8000,267
8000,115
8000,40
8000,175
8000,64
