n,C-D
1000,957
1000,4848
1000,2747
1000,864
1000,1196
1000,1147
1000,1957
1000,2525
1000,2125
1000,2265
1000,555
1000,2562
1000,2944
1000,2166
1000,1517
1000,762
1000,5301
1000,1962
1000,4535
1000,1736
1000,66
1000,2339
1000,3971
1000,1869
1000,4258
1000,566
1000,1976
1000,5612
1000,2940
1000,1788
1000,2946
1000,3554
1000,2275
1000,2238
1000,4372
1000,655
1000,1874
1000,2773
1000,4943
1000,1361
1000,1451
1000,1118
1000,1292
1000,5333
1000,2857
1000,3699
1000,4109
1000,2622
1000,4267
1000,4469
2000,1429
2000,10132
2000,5351
2000,4781
2000,8988
2000,4176
2000,888
2000,3602
2000,740
2000,4267
2000,3885
2000,3148
2000,8948
2000,3812
2000,3890
2000,5691
2000,3380
2000,12740
2000,3053
2000,654
2000,7678
2000,3460
2000,10040
2000,14428
2000,2550
2000,2753
2000,3461
2000,4317
2000,9345
2000,5657
2000,3494
2000,1618
2000,3608
2000,4874
2000,2748
2000,4008
2000,4236
2000,4622
2000,774
2000,915
2000,3073
2000,4775
2000,8079
2000,6838
2000,4809
2000,4441
2000,6778
2000,1288
2000,4245
2000,5363
3000,1369
3000,15573
3000,7003
3000,2142
3000,6251
3000,7316
3000,3075
3000,10301
3000,4866
3000,12020
3000,15725
3000,11074
3000,2682
3000,8562
3000,7334
3000,3943
3000,954
3000,4028
3000,9375
3000,5899
3000,10368
3000,4753
3000,2826
3000,6016
3000,8293
3000,12448
3000,1303
3000,4709
3000,5313
3000,4894
3000,15825
3000,8778
3000,11348
3000,7016
3000,9801
3000,4130
3000,9922
3000,7878
3000,11949
3000,1146
3000,4589
3000,1891
3000,4108
3000,7048
3000,7905
3000,16658
3000,7027
3000,11534
3000,1819
3000,10426
4000,8879
4000,6352
4000,6319
4000,3404
4000,11026
4000,2511
4000,2649
4000,7062
4000,20830
4000,7693
4000,11407
4000,8507
4000,359
4000,8842
4000,3570
4000,20337
4000,11055
4000,6308
4000,10895
4000,9136
4000,1607
4000,18667
4000,19995
4000,4547
4000,6849
4000,8232
4000,15723
4000,14444
4000,13168
4000,4703
4000,14216
4000,8132
4000,10487
4000,2561
4000,16635
4000,12026
4000,14949
4000,12340
4000,4888
4000,14435
4000,5828
4000,11494
4000,15841
4000,4705
4000,5444
4000,4777
4000,13428
4000,17598
4000,16803
4000,7710
5000,18291
5000,14611
5000,5945
5000,6312
5000,17613
5000,2823
5000,13786
5000,20740
5000,7743
5000,10191
5000,3833
5000,19717
5000,14281
5000,20080
5000,21102
5000,8878
5000,3103
5000,10927
5000,3977
5000,6335
5000,8877
5000,17379
5000,28329
5000,8899
5000,7703
5000,30528
5000,16659
5000,15506
5000,16569
5000,18642
5000,412
5000,14527
5000,5900
5000,24469
5000,5751
5000,21620
5000,24695
5000,10607
5000,18727
5000,11089
5000,10651
5000,3764
5000,7548
5000,1811
5000,7944
5000,7206
5000,15928
5000,5263
5000,12821
5000,16931
6000,3563
6000,12995
6000,35355
6000,19878
6000,12853
6000,19640
6000,28492
6000,10715
6000,6164
6000,9377
6000,21896
6000,64440
6000,14594
6000,10514
6000,12509
6000,24829
6000,5802
6000,13376
6000,18155
6000,20341
6000,10381
6000,19116
6000,16603
6000,14765
6000,24474
6000,8767
6000,1399
6000,11224
6000,13798
6000,11414
6000,1819
6000,7515
6000,15767
6000,19268
6000,8364
6000,12173
6000,20613
6000,3506
6000,14487
6000,8597
6000,13432
6000,14979
6000,31308
6000,18160
6000,10504
6000,10269
6000,33321
6000,2724
6000,3850
6000,8376
7000,16613
7000,3917
7000,6488
7000,1333
7000,1434
7000,19054
7000,14286
7000,22521
7000,11997
7000,24759
7000,24673
7000,4815
7000,14121
7000,9551
7000,35813
7000,22863
7000,11266
7000,13601
7000,21737
7000,13881
7000,13360
7000,19167
7000,2984
7000,11131
7000,12103
7000,9302
7000,7018
7000,9109
7000,1091
7000,9712
7000,36038
7000,15846
7000,22297
7000,14858
7000,28167
7000,11833
7000,24613
7000,20718
7000,2345
7000,20912
7000,92
7000,11163
7000,28398
7000,24465
7000,21881
7000,29418
7000,25950
7000,5656
7000,20221
7000,15404
8000,39438
8000,18138
8000,24185
8000,44823
8000,15417
8000,16262
8000,27478
8000,12759
8000,25370
8000,7971
8000,21453
8000,4428
8000,26033
8000,24694
8000,28528
8000,3642
8000,1858
8000,34737
8000,22256
8000,17737
8000,17779
8000,35808
8000,30546
8000,14468
8000,31821
8000,8505
8000,26751
8000,13245
8000,42117
8000,41667
8000,21008
8000,48394
8000,5473
8000,17545
8000,41591
8000,21802
8000,36243
8000,12861
8000,20841
8000,40538
8000,26313
8000,32343
8000,18763
8000,26245
8000,21648
8000,19849
8000,25042
8000,31759
8000,10416
8000,42072
9000,31022
9000,22850
9000,19437
9000,11842
9000,34037
9000,30991
9000,15800
9000,26811
9000,29276
9000,14611
9000,15254
9000,19369
9000,44851
9000,18490
9000,37683
9000,59439
9000,28323
9000,2511
9000,19536
9000,11032
9000,39469
9000,29985
9000,6235
9000,16243
9000,28809
9000,17101
9000,34699
9000,67566
9000,26242
9000,13854
9000,28124
9000,24733
9000,2077
9000,14023
9000,51366
9000,32971
9000,22619
9000,17851
9000,33819
9000,54526
9000,10711
9000,1064
9000,34332
9000,24839
9000,5037
9000,9471
9000,21982
9000,4277
9000,321
9000,32062
10000,83974
10000,14602
10000,18849
10000,23628
10000,4866
10000,30699
10000,864
10000,8004
10000,19230
10000,9289
10000,21118
10000,20649
10000,10695
10000,19789
10000,10762
10000,15666
10000,3086
10000,14822
10000,43410
10000,25226
10000,9907
10000,34921
10000,32734
10000,23150
10000,16160
10000,15487
10000,30041
10000,17045
10000,27417
10000,25485
10000,23415
10000,11810
10000,26799
10000,12644
10000,5020
10000,42791
10000,71520
10000,15900
10000,5786
10000,10340
10000,55702
10000,24628
10000,47209
10000,13804
10000,1956
10000,6097
10000,18500
10000,44804
10000,14380
10000,7903
11000,27586
11000,40123
11000,14777
11000,37533
11000,49869
11000,10813
11000,6488
11000,31576
11000,34277
11000,18545
11000,42176
11000,33328
11000,535
11000,40824
11000,26239
11000,52483
11000,24509
11000,17918
11000,29481
11000,43705
11000,3772
11000,19546
11000,45887
11000,9578
11000,62567
11000,44986
11000,19403
11000,29017
11000,14352
11000,8299
11000,15643
11000,2722
11000,34834
11000,26418
11000,21263
11000,54864
11000,31846
11000,19932
11000,28470
11000,23888
