n,C
1000,6340
1000,6572
1000,7564
1000,6668
1000,7436
1000,7127
1000,8035
1000,9383
1000,7826
1000,9998
1000,7349
1000,8185
1000,6231
1000,6340
1000,7935
1000,7118
1000,9595
1000,7092
1000,6886
1000,8624
1000,8152
1000,6548
1000,7146
1000,8910
1000,7325
1000,5481
1000,7871
1000,10232
1000,6396
1000,5809
1000,9246
1000,7524
1000,6410
1000,9393
1000,9256
1000,6781
1000,7470
1000,10321
1000,6907
1000,6207
1000,6613
1000,8448
1000,7137
1000,7553
1000,6730
1000,7540
1000,8348
1000,7990
1000,6423
1000,6205
2000,15816
2000,14805
2000,15907
2000,19279
2000,14877
2000,14427
2000,14127
2000,13426
2000,14536
2000,16882
2000,17576
2000,13976
2000,14736
2000,18608
2000,15891
2000,16859
2000,15785
2000,15042
2000,13014
2000,23017
2000,13761
2000,17572
2000,14060
2000,18008
2000,15122
2000,16336
2000,14818
2000,12755
2000,15086
2000,22270
2000,13886
2000,15212
2000,14482
2000,14225
2000,18872
2000,13794
2000,15552
2000,16462
2000,16008
2000,12900
2000,17963
2000,13427
2000,17558
2000,14932
2000,18431
2000,14416
2000,15897
2000,18689
2000,14804
2000,12224
3000,27438
3000,21793
3000,27147
3000,25754
3000,31572
3000,31290
3000,28108
3000,26484
3000,26080
3000,29780
3000,25431
3000,21877
3000,27507
3000,21471
3000,27535
3000,18454
3000,22817
3000,32095
3000,26409
3000,27156
3000,20976
3000,24629
3000,23545
3000,24430
3000,25402
3000,33772
3000,29232
3000,18461
3000,25250
3000,28906
3000,26075
3000,24970
3000,24239
3000,24001
3000,23766
3000,19119
3000,24452
3000,26780
3000,39850
3000,24235
3000,34904
3000,30011
3000,23051
3000,26180
3000,25105
3000,31292
3000,21246
3000,21185
3000,20835
3000,25453
4000,36048
4000,35601
4000,36408
4000,38484
4000,28468
4000,44398
4000,37439
4000,34668
4000,37967
4000,35094
4000,34355
4000,42644
4000,31399
4000,33201
4000,29642
4000,30646
4000,39177
4000,35353
4000,43482
4000,41144
4000,34025
4000,45983
4000,37160
4000,46012
4000,45041
4000,33746
4000,31409
4000,28677
4000,28948
4000,46171
4000,34110
4000,33778
4000,36242
4000,29966
4000,28460
4000,36359
4000,34149
4000,39822
4000,33125
4000,29965
4000,33394
4000,34414
4000,35577
4000,39769
4000,42011
4000,34216
4000,36162
4000,31297
4000,34693
4000,36565
5000,70821
5000,36997
5000,42778
5000,43617
5000,43924
5000,37757
5000,54061
5000,53149
5000,44006
5000,43937
5000,50000
5000,43314
5000,39800
5000,40709
5000,44669
5000,36935
5000,47162
5000,39276
5000,42712
5000,45760
5000,38767
5000,46612
5000,47817
5000,49805
5000,57479
5000,51791
5000,44239
5000,53401
5000,41170
5000,49109
5000,46485
5000,39435
5000,38653
5000,42135
5000,57665
5000,40937
5000,36699
5000,38019
5000,37385
5000,49574
5000,52522
5000,39001
5000,44285
5000,39185
5000,41376
5000,38408
5000,39717
5000,44119
5000,38084
5000,41127
6000,63458
6000,43339
6000,59897
6000,53362
6000,59543
6000,58049
6000,51558
6000,66085
6000,62843
6000,51547
6000,54984
6000,48188
6000,49674
6000,50730
6000,54878
6000,55543
6000,46899
6000,61225
6000,52271
6000,52417
6000,59289
6000,57202
6000,58861
6000,60369
6000,54136
6000,51348
6000,48636
6000,53798
6000,50621
6000,66500
6000,61220
6000,67805
6000,55009
6000,68876
6000,59974
6000,63574
6000,82970
6000,51378
6000,61913
6000,62544
6000,53173
6000,54737
6000,51690
6000,52015
6000,53355
6000,65519
6000,57799
6000,56278
6000,51712
6000,60917
7000,71598
7000,65776
7000,59824
7000,62606
7000,62556
7000,70180
7000,57184
7000,104277
7000,77808
7000,83577
7000,72457
7000,57406
7000,63327
7000,73063
7000,68906
7000,75479
7000,73927
7000,76297
7000,65256
7000,68540
7000,73574
7000,69899
7000,58044
7000,60004
7000,58347
7000,71350
7000,56330
7000,69480
7000,56353
7000,84793
7000,58396
7000,65262
7000,63009
7000,58373
7000,57683
7000,77304
7000,70062
7000,67710
7000,57711
7000,62940
7000,54275
7000,55853
7000,62004
7000,83843
7000,53748
7000,57934
7000,61776
7000,54841
7000,73036
7000,58766
8000,77767
8000,75591
8000,78417
8000,69098
8000,74339
8000,65507
8000,82413
8000,84346
8000,60024
8000,62521
8000,61217
8000,72408
8000,76322
8000,88809
