n,D-C
1000,2164
1000,4524
1000,939
1000,3281
1000,3620
1000,1466
1000,2255
1000,678
1000,1880
1000,420
1000,1921
1000,2149
1000,3834
1000,2124
1000,1139
1000,2645
1000,466
1000,5432
1000,7727
1000,3771
1000,631
1000,2571
1000,2858
1000,229
1000,2556
1000,5970
1000,6012
1000,56
1000,3751
1000,4613
1000,2265
1000,2910
1000,2343
1000,379
1000,1345
1000,3222
1000,2784
1000,322
1000,3033
1000,3405
1000,4319
1000,3608
1000,4586
1000,1642
1000,4203
1000,3279
1000,1514
1000,3971
1000,2288
1000,1987
2000,5336
2000,7394
2000,5020
2000,1299
2000,6776
2000,2686
2000,5631
2000,9180
2000,2996
2000,6368
2000,581
2000,3236
2000,7012
2000,4362
2000,3043
2000,4896
2000,4600
2000,9301
2000,1771
2000,1056
2000,7579
2000,2631
2000,4675
2000,495
2000,7926
2000,5576
2000,4232
2000,5005
2000,2498
2000,5085
2000,10014
2000,2634
2000,5987
2000,5042
2000,4394
2000,6121
2000,2381
2000,7056
2000,5136
2000,3808
2000,1966
2000,6006
2000,2505
2000,7226
2000,2479
2000,2423
2000,7604
2000,8295
2000,3525
2000,4674
3000,8380
3000,9018
3000,1683
3000,5039
3000,8753
3000,10000
3000,2012
3000,2496
3000,3883
3000,5949
3000,5528
3000,7705
3000,9297
3000,10191
3000,2724
3000,9450
3000,12489
3000,6339
3000,4152
3000,7654
3000,8154
3000,6679
3000,6082
3000,13302
3000,5137
3000,3678
3000,3940
3000,12128
3000,3555
3000,11514
3000,6998
3000,5164
3000,16660
3000,11615
3000,10632
3000,11283
3000,7586
3000,6514
3000,4528
3000,15349
3000,17142
3000,4009
3000,8920
3000,2380
3000,15632
3000,3714
3000,8029
3000,10896
3000,11269
3000,9406
4000,3322
4000,5789
4000,10038
4000,9572
4000,23543
4000,3248
4000,1226
4000,13444
4000,9117
4000,10942
4000,13973
4000,1323
4000,7900
4000,11615
4000,9553
4000,7130
4000,7758
4000,10808
4000,5297
4000,12993
4000,6056
4000,3316
4000,13917
4000,5555
4000,1936
4000,5644
4000,12321
4000,16383
4000,10651
4000,3439
4000,18189
4000,16271
4000,10598
4000,11997
4000,9695
4000,9686
4000,4928
4000,13107
4000,12693
4000,12278
4000,13915
4000,2654
4000,21967
4000,7176
4000,2950
4000,5166
4000,3391
4000,10251
4000,8601
4000,4364
5000,5338
5000,29689
5000,9504
5000,5959
5000,5147
5000,21882
5000,4135
5000,2875
5000,18959
5000,20167
5000,12674
5000,12478
5000,24973
5000,19886
5000,11396
5000,30423
5000,11911
5000,13347
5000,11144
5000,4605
5000,13307
5000,1396
5000,4133
5000,19096
5000,8291
5000,5330
5000,15777
5000,11406
5000,8950
5000,9171
5000,8105
5000,16958
5000,15843
5000,5212
5000,5446
5000,1415
5000,26206
5000,13700
5000,13317
5000,4738
5000,11432
5000,13717
5000,6664
5000,17943
5000,18965
5000,12345
5000,25253
5000,17651
5000,19725
5000,15118
6000,1497
6000,41652
6000,16071
6000,12298
6000,5941
6000,11386
6000,15194
6000,1041
6000,5712
6000,22233
6000,12324
6000,12159
6000,19747
6000,21092
6000,16748
6000,14465
6000,29400
6000,4108
6000,11696
6000,22130
6000,10463
6000,18189
6000,7973
6000,1363
6000,26993
6000,23359
6000,16095
6000,18511
6000,22853
6000,8097
6000,4241
6000,10183
6000,12650
6000,1056
6000,30125
6000,19889
6000,1716
6000,11749
6000,4493
6000,9585
6000,15809
6000,11747
6000,15116
6000,22862
6000,15714
6000,68
6000,10816
6000,12037
6000,12439
6000,16319
7000,19544
7000,17655
7000,54782
7000,15958
7000,17644
7000,13725
7000,30470
7000,22541
7000,11962
7000,17464
7000,16517
7000,34050
7000,23694
7000,10843
7000,11843
7000,55323
7000,21304
7000,756
7000,38200
7000,14960
7000,10892
7000,18274
7000,14604
7000,18926
7000,17395
7000,31487
7000,23506
7000,23164
7000,26783
7000,13932
7000,17790
7000,11487
7000,18880
7000,14817
7000,30756
7000,22909
7000,18182
7000,24897
7000,16583
7000,20772
7000,11604
7000,29241
7000,32961
7000,5037
7000,37028
7000,20519
7000,33218
7000,30359
7000,4556
7000,13356
8000,29528
8000,17480
8000,13258
8000,23907
8000,18035
8000,19431
8000,11312
8000,39113
8000,31480
8000,29944
8000,72934
8000,18792
8000,19741
8000,20098
8000,31874
8000,31820
8000,17034
8000,24858
8000,4550
8000,27155
8000,6018
8000,26132
8000,20124
8000,14711
8000,25100
8000,17729
8000,28685
8000,25807
8000,42975
8000,20857
8000,35962
8000,4595
8000,11554
8000,15758
8000,4143
8000,31781
8000,5748
8000,26692
8000,30684
8000,23652
8000,20361
8000,13218
8000,14765
8000,10940
8000,32064
8000,14920
8000,16456
8000,21633
8000,14002
8000,27799
9000,24992
9000,27097
9000,25445
9000,18730
9000,35907
9000,680
9000,14917
9000,22460
9000,21054
9000,17083
9000,16819
9000,14545
9000,27234
9000,31010
9000,20713
9000,27941
9000,53876
9000,40583
9000,54643
9000,13054
9000,17139
9000,22424
9000,39215
9000,10412
9000,6870
9000,22206
9000,45363
9000,25634
9000,24235
9000,24752
9000,29523
9000,12734
9000,23085
9000,33551
9000,12690
9000,6558
9000,21524
9000,45671
9000,4343
9000,11897
9000,16751
9000,6586
9000,15952
9000,26472
9000,19225
9000,10630
9000,47447
9000,13120
9000,25370
9000,27560
10000,13117
10000,35243
10000,19353
10000,18464
10000,30100
10000,17330
10000,20085
10000,26358
10000,15426
10000,7567
10000,12702
10000,18801
10000,36627
10000,24241
10000,22911
10000,16207
10000,8344
10000,14222
10000,57886
10000,5538
10000,42187
10000,7390
10000,30717
10000,31972
10000,46626
10000,34575
10000,20108
10000,12820
10000,35992
10000,13764
10000,62196
10000,37103
10000,40272
10000,24020
10000,4567
10000,37877
10000,21234
10000,24388
10000,28964
10000,19125
10000,29017
10000,7283
10000,13839
10000,33551
10000,46856
10000,20256
10000,11208
10000,18909
10000,41972
10000,3432
11000,60405
11000,39507
11000,29894
11000,2527
11000,37792
11000,7579
11000,64898
11000,30964
11000,17854
11000,24687
11000,22129
11000,23131
11000,40052
11000,26051
11000,25531
11000,15933
11000,28286
11000,33870
11000,2516
11000,17269
11000,43683
11000,39566
11000,33666
11000,31699
11000,19986
11000,26724
11000,22613
11000,26809
11000,9917
11000,24992
11000,41148
11000,32939
11000,34796
11000,34762
11000,58010
11000,2944
11000,6880
11000,51720
11000,29653
11000,48315
11000,28694
11000,46269
11000,47291
11000,16805
11000,13193
11000,53491
11000,9508
11000,34245
11000,34317
11000,15282
12000,37506
12000,9055
12000,19714
12000,65767
12000,23333
12000,3296
12000,32584
12000,23084
12000,19317
12000,37090
12000,26253
12000,37340
12000,50187
12000,57683
12000,19667
12000,21190
12000,62054
12000,22763
12000,20415
12000,12491
12000,10251
12000,43564
12000,49931
12000,33615
12000,37109
12000,35711
12000,81564
12000,20150
12000,24328
12000,61361
12000,17807
12000,5257
12000,64045
12000,32185
12000,55059
