n,U
1000,341
1000,376
1000,354
1000,361
1000,376
1000,379
1000,360
1000,371
1000,379
1000,363
1000,379
1000,359
1000,374
1000,367
1000,371
1000,359
1000,360
1000,369
1000,357
1000,368
1000,377
1000,369
1000,363
1000,369
1000,368
1000,370
1000,360
1000,356
1000,354
1000,358
1000,356
1000,366
1000,377
1000,372
1000,369
1000,357
1000,392
1000,367
1000,371
1000,349
1000,357
1000,394
1000,368
1000,346
1000,387
1000,360
1000,377
1000,368
1000,335
1000,354
2000,763
2000,744
2000,740
2000,743
2000,723
2000,744
2000,742
2000,755
2000,734
2000,743
2000,740
2000,744
2000,727
2000,734
2000,734
2000,713
2000,720
2000,727
2000,727
2000,734
2000,718
2000,726
2000,718
2000,750
2000,684
2000,752
2000,736
2000,725
2000,744
2000,735
2000,732
2000,742
2000,742
2000,739
2000,759
2000,732
2000,736
2000,735
2000,711
2000,734
2000,727
2000,727
2000,752
2000,752
2000,743
2000,727
2000,756
2000,714
2000,738
2000,738
3000,1114
3000,1089
3000,1064
3000,1145
3000,1086
3000,1135
3000,1103
3000,1125
3000,1086
3000,1102
3000,1128
3000,1100
3000,1113
3000,1118
3000,1126
3000,1083
3000,1118
3000,1077
3000,1080
3000,1116
3000,1118
3000,1093
3000,1106
3000,1123
3000,1126
3000,1124
3000,1121
3000,1111
3000,1071
3000,1112
3000,1107
3000,1102
3000,1111
3000,1067
3000,1075
3000,1123
3000,1113
3000,1135
3000,1087
3000,1081
3000,1124
3000,1101
3000,1115
3000,1100
3000,1104
3000,1112
3000,1084
3000,1097
3000,1096
3000,1098
4000,1443
4000,1456
4000,1463
4000,1475
4000,1464
4000,1456
4000,1458
4000,1490
4000,1487
4000,1476
4000,1437
4000,1467
4000,1493
4000,1499
4000,1455
4000,1506
4000,1461
4000,1490
4000,1456
4000,1487
4000,1449
4000,1466
4000,1463
4000,1488
4000,1453
4000,1464
4000,1457
4000,1484
4000,1453
4000,1469
4000,1452
4000,1470
4000,1474
4000,1486
4000,1449
4000,1448
4000,1470
4000,1496
4000,1476
4000,1436
4000,1454
4000,1477
4000,1448
4000,1487
4000,1489
4000,1458
4000,1475
4000,1450
4000,1475
4000,1471
5000,1864
5000,1815
5000,1840
5000,1832
5000,1843
5000,1858
5000,1817
5000,1842
5000,1815
5000,1848
5000,1868
5000,1852
5000,1818
5000,1868
5000,1836
5000,1846
5000,1868
5000,1830
5000,1884
5000,1870
5000,1861
5000,1868
5000,1863
5000,1869
5000,1815
5000,1803
5000,1847
5000,1820
5000,1837
5000,1824
5000,1816
5000,1840
5000,1848
5000,1843
5000,1817
5000,1880
5000,1819
5000,1854
5000,1828
5000,1802
5000,1798
5000,1862
5000,1832
5000,1837
5000,1864
5000,1860
5000,1875
5000,1826
5000,1853
5000,1859
6000,2199
6000,2222
6000,2226
6000,2225
6000,2225
6000,2220
6000,2210
6000,2178
6000,2168
6000,2241
6000,2226
6000,2224
6000,2189
6000,2191
6000,2159
6000,2194
6000,2202
6000,2210
6000,2175
6000,2239
6000,2180
6000,2212
6000,2227
6000,2235
6000,2215
6000,2218
6000,2208
6000,2236
6000,2223
6000,2220
6000,2174
6000,2244
6000,2233
6000,2199
6000,2225
6000,2196
6000,2174
6000,2192
6000,2210
6000,2225
6000,2215
6000,2228
6000,2222
6000,2230
6000,2205
6000,2183
6000,2187
6000,2206
6000,2195
6000,2232
7000,2597
7000,2587
7000,2583
7000,2557
7000,2576
7000,2570
7000,2607
7000,2560
7000,2584
7000,2550
7000,2610
7000,2557
7000,2587
7000,2596
7000,2611
7000,2578
7000,2538
7000,2557
7000,2578
7000,2590
7000,2563
7000,2595
7000,2563
7000,2554
7000,2578
7000,2556
7000,2562
7000,2597
7000,2583
7000,2617
7000,2598
7000,2619
7000,2565
7000,2591
7000,2569
7000,2568
7000,2605
7000,2596
7000,2562
7000,2565
7000,2619
7000,2521
7000,2525
7000,2568
7000,2568
7000,2569
7000,2569
7000,2601
7000,2568
7000,2525
8000,2922
8000,2935
8000,2941
8000,2929
8000,2910
8000,2949
8000,2900
8000,2970
8000,2939
8000,2888
8000,2939
8000,2944
8000,2924
8000,2906
8000,3012
8000,2976
8000,2996
8000,2970
8000,2941
8000,2929
8000,2915
8000,2944
8000,2982
8000,2970
8000,2986
8000,2970
8000,2935
8000,2921
8000,2977
8000,2959
8000,2940
8000,2932
8000,2937
8000,2946
8000,2949
8000,2968
8000,2948
8000,2943
8000,2944
8000,2929
8000,2949
8000,2924
8000,2930
8000,2909
8000,2909
8000,2956
8000,2947
8000,2960
8000,2893
8000,2977
9000,3257
9000,3275
9000,3320
9000,3301
9000,3312
9000,3347
9000,3284
9000,3336
9000,3317
9000,3257
9000,3308
9000,3285
9000,3307
9000,3308
9000,3380
9000,3294
9000,3267
9000,3327
9000,3320
9000,3327
9000,3318
9000,3309
9000,3326
9000,3315
9000,3289
9000,3286
9000,3337
9000,3325
9000,3348
9000,3288
9000,3355
9000,3292
9000,3290
9000,3337
9000,3315
9000,3283
9000,3297
9000,3355
9000,3251
9000,3245
9000,3362
9000,3280
9000,3263
9000,3293
9000,3323
9000,3269
9000,3318
9000,3314
9000,3369
9000,3353
10000,3632
10000,3637
10000,3700
10000,3711
10000,3681
10000,3695
10000,3673
