n,T
1000,67
1000,110
1000,73
1000,69
1000,74
1000,57
1000,79
1000,80
1000,60
1000,74
1000,68
1000,66
1000,57
1000,64
1000,54
1000,63
1000,96
1000,78
1000,63
1000,60
1000,73
1000,62
1000,56
1000,71
1000,66
1000,84
1000,62
1000,68
1000,79
1000,76
1000,89
1000,67
1000,68
1000,80
1000,70
1000,65
1000,72
1000,79
1000,95
1000,52
1000,75
1000,55
1000,101
1000,68
1000,67
1000,91
1000,63
1000,72
1000,70
1000,82
2000,73
2000,75
2000,85
2000,72
2000,60
2000,67
2000,85
2000,73
2000,78
2000,78
2000,95
2000,87
2000,75
2000,69
2000,74
2000,60
2000,77
2000,82
2000,73
2000,119
2000,76
2000,76
2000,74
2000,75
2000,70
2000,77
2000,118
2000,69
2000,64
2000,61
2000,76
2000,96
2000,73
2000,80
2000,73
2000,128
2000,88
2000,73
2000,79
2000,70
2000,78
2000,80
2000,80
2000,61
2000,74
2000,72
2000,124
2000,77
2000,63
2000,77
3000,75
3000,70
3000,116
3000,92
3000,112
3000,68
3000,71
3000,70
3000,94
3000,81
3000,75
3000,84
3000,79
3000,76
3000,81
3000,89
3000,70
3000,88
3000,93
3000,86
3000,67
3000,102
3000,71
3000,82
3000,79
3000,74
3000,84
3000,83
3000,109
3000,90
3000,80
3000,74
3000,75
3000,78
3000,90
3000,80
3000,126
3000,82
3000,88
3000,90
3000,80
3000,74
3000,99
3000,74
3000,72
3000,61
3000,78
3000,83
3000,81
3000,87
4000,129
4000,124
4000,86
4000,87
4000,87
4000,87
4000,90
4000,84
4000,74
4000,71
4000,76
4000,79
4000,91
4000,93
4000,84
4000,78
4000,87
4000,95
4000,85
4000,74
4000,71
4000,76
4000,75
4000,75
4000,81
4000,69
4000,77
4000,77
4000,86
4000,88
4000,94
4000,107
4000,84
4000,72
4000,128
4000,74
4000,79
4000,77
4000,70
4000,93
4000,97
4000,88
4000,72
4000,84
4000,79
4000,75
4000,77
4000,106
4000,86
4000,93
5000,92
5000,89
5000,99
5000,83
5000,88
5000,88
5000,73
5000,93
5000,86
5000,98
5000,89
5000,114
5000,77
5000,106
5000,93
5000,109
5000,94
5000,68
5000,95
5000,113
5000,76
5000,80
5000,84
5000,99
5000,73
5000,87
5000,99
5000,87
5000,85
5000,77
5000,91
5000,96
5000,95
5000,92
5000,95
5000,84
5000,107
