S_N,Probability
-25,4.0E-8
-24,0.0
-23,8.0E-7
-22,0.0
-21,8.98E-6
-20,0.0
-19,6.756E-5
-18,0.0
-17,3.7412E-4
-16,0.0
-15,0.00158139
-14,0.0
-13,0.00527003
-12,0.0
-11,0.01432459
-10,0.0
-9,0.03223299
-8,0.0
-7,0.06088873
-6,0.0
-5,0.09742243
-4,0.0
-3,0.13283201
-2,0.0
-1,0.15500762
0,0.0
1,0.15494403
2,0.0
3,0.13283038
4,0.0
5,0.09743945
6,0.0
7,0.06088583
8,0.0
9,0.03224857
10,0.0
11,0.01431987
12,0.0
13,0.00527283
14,0.0
15,0.00158869
16,0.0
17,3.7905E-4
18,0.0
19,7.04E-5
20,0.0
21,8.76E-6
22,0.0
23,8.2E-7
24,0.0
25,3.0E-8
