n,cmp
100,2615
100,2617
100,2784
100,2581
100,2559
100,2562
100,2613
100,2683
100,2625
100,2704
100,2519
100,2700
100,2469
100,2648
100,2477
100,2734
100,2804
100,2761
100,2442
100,2463
100,2705
100,2831
100,2694
100,2836
100,2460
100,2622
100,2578
100,2731
100,2672
100,2687
100,2789
100,2509
100,2699
100,2462
100,2451
100,2812
100,2328
100,2788
100,2548
100,2239
100,2784
100,2392
100,2693
100,2690
100,2551
100,2829
100,2313
100,2533
100,2126
100,2507
200,10663
200,10413
200,9819
200,9649
200,10608
200,10122
200,10693
200,10137
200,10804
200,9630
200,10830
200,9984
200,10543
200,9878
200,10133
200,10360
200,10498
200,10345
200,9725
200,10116
200,10237
200,10498
200,11153
200,10148
200,10735
200,10184
200,10194
200,10226
200,10679
200,10296
200,11191
200,10293
200,10404
200,10329
200,10281
200,10514
200,11041
200,11274
200,9841
200,9992
200,11430
200,10633
200,10316
200,9704
200,10131
200,9668
200,10372
200,10170
200,10147
200,10290
300,24010
300,22966
300,23241
300,23722
300,23062
300,23664
300,23555
300,23954
300,23999
300,22696
300,22317
300,22899
300,24401
300,22519
300,22937
300,23502
300,24185
300,22184
300,22781
300,23839
300,24088
300,22374
300,22562
300,23640
300,23276
300,21950
300,22783
300,22169
300,23609
300,23104
300,22473
300,21675
300,23230
300,23401
300,23669
300,22481
300,24576
300,23661
300,23371
300,23657
300,22380
300,23186
300,23830
300,22109
300,22778
300,22628
300,22970
300,21536
300,23278
300,23667
400,41835
400,40306
400,40553
400,41842
400,41460
400,38862
400,39774
400,41264
400,43129
400,42271
400,40059
400,44071
400,40280
400,39112
400,41881
400,41237
400,40582
400,41248
400,43538
400,41300
400,40716
400,40923
400,40645
400,38509
400,43811
400,40853
400,38999
400,40981
400,42016
400,42691
400,39615
400,40774
400,38599
400,43118
400,40044
400,43175
400,40551
400,41764
400,41967
400,41833
400,41701
400,40869
400,43280
400,43898
400,39106
400,40789
400,42560
400,41929
400,42745
400,38716
500,66121
500,65999
500,65577
500,63142
500,63534
500,60790
500,61911
500,62108
500,64088
500,65283
500,63573
500,61745
500,65584
500,64118
500,64314
500,62252
500,64463
500,62177
500,63311
500,64975
500,62093
500,67240
500,62992
500,64459
500,61094
500,62931
500,63550
500,60551
500,62115
500,64348
500,64306
500,65591
500,64368
500,64190
500,62735
500,61787
500,62929
500,62891
500,61085
500,64359
500,66314
500,65160
500,64197
500,63766
500,66084
500,65023
500,64199
500,65060
500,61816
500,63652
600,91083
600,92845
600,94248
600,90272
600,94437
600,96624
600,91214
600,88603
600,91110
600,95423
600,91487
600,92957
600,92243
600,96052
600,94541
600,93509
600,93607
600,88553
600,91661
600,95292
600,95992
600,93089
600,91996
600,92927
600,95241
600,90094
600,92405
600,92715
600,89990
600,95794
600,97156
600,91959
600,90717
600,92969
600,95473
600,89913
600,92546
600,92703
600,93575
600,88753
600,90302
600,92619
600,92396
600,95093
600,92341
600,91877
600,90090
600,90612
600,87441
600,92758
700,124851
700,127315
700,119377
700,126588
700,127107
700,127189
700,125125
700,128243
700,128694
700,126887
700,124402
700,127746
700,120938
700,128018
700,129742
700,129009
700,130209
700,123498
700,133185
700,125429
700,130153
700,119862
700,121704
700,124608
700,127193
700,125075
700,120405
700,127252
700,124383
700,129051
700,133163
700,121624
700,121378
700,125076
700,126262
700,127705
700,125354
700,128762
700,121529
700,129835
700,123734
700,129573
700,130052
700,120161
700,128478
700,125674
700,124064
700,125155
700,127568
700,127650
800,162636
800,167920
800,169283
800,166907
800,165181
800,163528
800,166476
800,158436
800,154629
800,165612
800,165640
800,162663
800,166926
800,175473
800,160854
800,167487
800,165041
800,164141
800,160119
800,165301
800,160554
800,160856
800,167660
800,161724
800,159685
800,163057
800,174804
800,162403
800,161131
800,164316
800,161105
800,162717
800,158259
800,164563
800,168252
800,163947
800,162698
800,159308
800,165280
800,162445
800,156131
800,161749
800,164894
800,169108
800,161747
800,167611
800,169007
800,163061
800,166417
800,165103
900,204744
900,209494
900,199778
900,202266
900,214982
900,206434
900,199246
900,214180
900,211869
900,200895
900,196358
900,213252
900,204030
900,204892
900,212022
900,209148
900,210043
900,205893
900,205210
900,209722
900,211277
900,211447
900,213159
900,206090
900,214253
900,206462
900,199416
900,201293
900,212238
900,203915
900,202478
900,213233
900,209764
900,213293
900,199236
900,208115
900,212660
900,205239
900,203759
900,210756
900,201842
900,212518
900,204939
900,214326
900,207861
900,199027
900,204377
900,210451
900,214891
900,218035
1000,261560
1000,267271
1000,250866
1000,258595
1000,251048
1000,257234
1000,249162
1000,257261
1000,264336
1000,256497
1000,253700
1000,267424
1000,260949
1000,260055
1000,256467
1000,256938
1000,251034
1000,260374
1000,257816
1000,260221
1000,254982
1000,259994
1000,258075
1000,261332
1000,242237
1000,256859
1000,250233
1000,257396
1000,241248
1000,254161
1000,256143
1000,263136
1000,256716
1000,261464
1000,247994
1000,253140
1000,250222
1000,256093
1000,254123
1000,254828
1000,252488
1000,255802
1000,254878
1000,253934
1000,259002
1000,258216
1000,250869
1000,255972
1000,258169
1000,257229
1100,308847
1100,308563
1100,302420
1100,316942
1100,303320
1100,321699
1100,309192
1100,308286
1100,308204
1100,315943
1100,306693
1100,316491
1100,301088
1100,310758
1100,306474
1100,304015
1100,311714
1100,317796
1100,302757
1100,310872
1100,308642
1100,308976
1100,302568
1100,299757
1100,311376
1100,311990
1100,312327
1100,321781
1100,310983
1100,297301
1100,319518
1100,308522
1100,316058
1100,304494
1100,315509
1100,298178
1100,308822
1100,301314
1100,306276
1100,311356
1100,309749
1100,307344
1100,311589
1100,312029
1100,303809
1100,315710
1100,317425
1100,296878
1100,292474
1100,305560
1200,361416
1200,371103
1200,370835
1200,367460
1200,366981
1200,368568
1200,376860
1200,371511
1200,369071
1200,358066
1200,367825
1200,358356
1200,366326
1200,356897
1200,345612
1200,372936
1200,375500
1200,362797
1200,361257
1200,367394
1200,377295
1200,366861
1200,373213
1200,369784
1200,365583
1200,372398
1200,357310
1200,362304
1200,356032
1200,372923
1200,367717
1200,370543
1200,360883
1200,355876
1200,378357
1200,360391
1200,368761
1200,369540
1200,378832
1200,374033
1200,365648
1200,382245
1200,373363
1200,368461
1200,376455
1200,363090
1200,360462
1200,364586
1200,363436
1200,365478
1300,436472
1300,426387
1300,437051
1300,442188
1300,436539
1300,435828
1300,437145
1300,425841
1300,432124
1300,437000
1300,438522
1300,431135
1300,423472
1300,425305
1300,422957
1300,425614
1300,419709
1300,438781
1300,418494
1300,430747
1300,445733
1300,446071
1300,425522
1300,430020
1300,437817
1300,438547
1300,438994
1300,436835
1300,426978
1300,439127
1300,448940
1300,431228
1300,424878
1300,424022
1300,430518
1300,432299
1300,436906
1300,427516
1300,436862
1300,414784
1300,431356
1300,422236
1300,437636
1300,431993
1300,436344
1300,434389
1300,432144
1300,439310
1300,435968
1300,431506
1400,499306
1400,503450
1400,485633
1400,503562
1400,492520
1400,501937
1400,485176
1400,515731
1400,508585
1400,508158
1400,494733
1400,501415
1400,508901
1400,492153
1400,508722
1400,510892
1400,501723
1400,500401
1400,509151
1400,512738
1400,497604
1400,509393
1400,495841
1400,516169
1400,487759
1400,512688
1400,500639
1400,496239
1400,495300
1400,492458
1400,484536
1400,496713
1400,496225
1400,506624
1400,510206
1400,492575
1400,493107
1400,499750
1400,494483
1400,502133
1400,512718
1400,496372
1400,490743
1400,501820
1400,506963
1400,498924
1400,501050
1400,483856
1400,512853
1400,491889
1500,566743
1500,570412
1500,552360
1500,580274
1500,567247
1500,568886
1500,570969
1500,569382
1500,585776
1500,573662
1500,566137
1500,589661
1500,576388
1500,584236
1500,555742
1500,584603
1500,580572
1500,564875
1500,557705
1500,571188
1500,592384
1500,565486
1500,580612
1500,576125
1500,557872
1500,568157
1500,576532
1500,595503
1500,569678
1500,573673
1500,570608
1500,580102
1500,588529
1500,564972
1500,569804
1500,551894
1500,556027
1500,549568
1500,571932
1500,575709
1500,572498
1500,565197
1500,557878
1500,565949
1500,585097
1500,593884
1500,581501
1500,584557
1500,586445
1500,563992
1600,659320
1600,669633
1600,664945
1600,634267
1600,634698
1600,641995
1600,665834
1600,653853
1600,648374
1600,651742
1600,646728
1600,668735
1600,648329
1600,661395
1600,672610
1600,653196
1600,656634
1600,646663
1600,646337
1600,666627
1600,657882
1600,660506
1600,656112
1600,665640
1600,649239
1600,664936
1600,654976
1600,642544
1600,656018
1600,648147
1600,663162
1600,659515
1600,640789
1600,649381
1600,654176
1600,669910
1600,651336
1600,654171
1600,653887
1600,687869
1600,647309
1600,642205
1600,665434
1600,677377
1600,650838
1600,648999
1600,637589
1600,670688
1600,652709
1600,645223
1700,753891
1700,735225
1700,729382
1700,744582
1700,731473
1700,745956
1700,739821
1700,735619
1700,736144
1700,754430
1700,740018
1700,736348
1700,735208
1700,742874
1700,746576
1700,749179
1700,741607
1700,749098
1700,730538
1700,726474
1700,730971
1700,753056
1700,752015
1700,747768
1700,713451
1700,713226
1700,741089
1700,740494
1700,754453
1700,735886
1700,756124
1700,736881
1700,732779
1700,752726
1700,757131
1700,729163
1700,729768
1700,742421
1700,760847
1700,731846
1700,736819
1700,745990
1700,720774
1700,724007
1700,730483
1700,749695
1700,731438
1700,738391
1700,733362
1700,736394
1800,829517
1800,845210
1800,830248
1800,827961
1800,823159
1800,812533
1800,824664
1800,825607
1800,815662
1800,851215
1800,818398
1800,816277
1800,840846
1800,821524
1800,815924
1800,838041
1800,840675
1800,848886
1800,824968
1800,827924
1800,818126
1800,825084
1800,848879
1800,825647
1800,806725
1800,839605
1800,810687
1800,829982
1800,802737
1800,840167
1800,807786
1800,820702
1800,830712
1800,819894
1800,811234
1800,816736
1800,843936
1800,820137
1800,833317
1800,838052
1800,811353
1800,826164
1800,837039
1800,821573
1800,844773
1800,845650
1800,841958
1800,808878
1800,841401
1800,828357
1900,926836
1900,918122
1900,925411
1900,913870
1900,910687
1900,931263
1900,904731
1900,896390
1900,921791
1900,904313
1900,943239
1900,942046
1900,904402
1900,912686
1900,928076
1900,916679
1900,947056
1900,921740
1900,912152
1900,930589
