n,s
100,2516
100,2520
100,2688
100,2486
100,2462
100,2464
100,2514
100,2585
100,2528
100,2609
100,2421
100,2606
100,2373
100,2551
100,2381
100,2640
100,2704
100,2664
100,2346
100,2368
100,2613
100,2735
100,2599
100,2740
100,2363
100,2525
100,2483
100,2633
100,2577
100,2593
100,2693
100,2412
100,2605
100,2365
100,2352
100,2718
100,2232
100,2692
100,2453
100,2145
100,2688
100,2298
100,2597
100,2599
100,2453
100,2734
100,2219
100,2437
100,2029
100,2408
200,10467
200,10219
200,9620
200,9453
200,10412
200,9924
200,10497
200,9943
200,10611
200,9435
200,10633
200,9787
200,10346
200,9681
200,9938
200,10165
200,10301
200,10150
200,9529
200,9919
200,10041
200,10302
200,10957
200,9955
200,10540
200,9989
200,9997
200,10029
200,10481
200,10100
200,10996
200,10096
200,10207
200,10135
200,10088
200,10317
200,10843
200,11079
200,9641
200,9795
200,11233
200,10439
200,10116
200,9510
200,9937
200,9473
200,10175
200,9972
200,9952
200,10092
300,23709
300,22668
300,22944
300,23422
300,22767
300,23369
300,23258
300,23658
300,23705
300,22402
300,22019
300,22604
300,24106
300,22223
300,22642
300,23206
300,23885
300,21886
300,22483
300,23546
300,23791
300,22078
300,22267
300,23343
300,22975
300,21654
300,22483
300,21873
300,23310
300,22807
300,22176
300,21377
300,22932
300,23102
300,23372
300,22182
300,24279
300,23367
300,23076
300,23359
300,22079
300,22895
300,23536
300,21817
300,22482
300,22332
300,22674
300,21237
300,22976
300,23369
400,41440
400,39907
400,40155
400,41446
400,41060
400,38467
400,39382
400,40867
400,42732
400,41872
400,39663
400,43673
400,39883
400,38716
400,41488
400,40838
400,40184
400,40848
400,43138
400,40902
400,40316
400,40528
400,40250
400,38111
400,43412
400,40455
400,38597
400,40583
400,41614
400,42297
400,39214
400,40376
400,38201
400,42717
400,39645
400,42782
400,40150
400,41367
400,41571
400,41436
400,41309
400,40472
400,42880
400,43499
400,38710
400,40397
400,42163
400,41530
400,42347
400,38317
500,65623
500,65502
500,65079
500,62640
500,63040
500,60290
500,61412
500,61608
500,63592
500,64781
500,63073
500,61246
500,65084
500,63622
500,63817
500,61753
500,63969
500,61679
500,62811
500,64474
500,61595
500,66744
500,62494
500,63963
500,60595
500,62430
500,63048
500,60053
500,61614
500,63849
500,63808
500,65090
500,63868
500,63694
500,62236
500,61291
500,62432
500,62392
500,60588
500,63863
500,65816
500,64662
500,63699
500,63267
500,65587
500,64529
500,63698
500,64566
500,61320
500,63156
600,90480
600,92249
600,93649
600,89673
600,93839
600,96022
600,90615
600,88007
600,90519
600,94825
600,90887
600,92357
600,91643
600,95455
600,93942
600,92907
600,93008
600,87954
600,91064
600,94689
600,95394
600,92488
600,91399
600,92326
600,94641
600,89494
600,91805
600,92116
600,89393
600,95197
600,96557
600,91360
600,90118
600,92370
600,94875
600,89315
600,91947
600,92102
600,92973
600,88151
600,89700
600,92020
600,91796
600,94494
600,91740
600,91281
600,89494
600,90012
600,86843
600,92157
700,124152
700,126613
700,118675
700,125887
700,126405
700,126487
700,124425
700,127544
700,127991
700,126187
700,123702
700,127049
700,120239
700,127318
700,129040
700,128312
700,129508
700,122800
700,132486
700,124729
700,129459
700,119158
700,121003
700,123907
700,126491
700,124376
