n;run_1;run_2;run_3;run_4;run_5;average
50;2.72;3.68;3.04;2.64;2.88;2.992
100;3.24;3.16;3.28;3.24;3.32;3.2479999999999998
150;3.12;3.3333333333333335;2.986666666666667;3.013333333333333;3.4133333333333336;3.1733333333333333
200;3.22;3.02;3.24;3.26;3.12;3.1719999999999997
250;3.12;3.04;3.216;2.976;3.12;3.0944000000000003
300;3.013333333333333;3.1333333333333333;3.2533333333333334;3.0533333333333332;3.1333333333333333;3.1173333333333333
350;3.12;3.085714285714286;3.2342857142857144;3.1085714285714285;3.142857142857143;3.1382857142857143
400;3.02;3.16;3.27;3.21;2.96;3.124
450;3.137777777777778;3.2444444444444445;3.1822222222222223;3.2266666666666666;3.2;3.198222222222222
500;3.184;3.08;3.16;3.168;3.168;3.1519999999999997
550;3.1054545454545455;3.1854545454545455;3.0254545454545454;3.1054545454545455;3.1418181818181816;3.1127272727272723
600;3.2;3.22;3.1;3.0933333333333333;3.2466666666666666;3.1719999999999997
650;3.144615384615385;3.0523076923076924;3.1384615384615384;3.076923076923077;3.1815384615384614;3.1187692307692307
700;3.1714285714285713;3.2342857142857144;3.2;3.1714285714285713;3.12;3.1794285714285713
750;3.12;3.12;3.1573333333333333;3.1893333333333334;3.104;3.1381333333333337
800;3.195;3.195;3.145;3.13;3.13;3.159
850;3.1294117647058823;3.152941176470588;3.1105882352941174;3.171764705882353;3.0588235294117645;3.124705882352941
900;3.137777777777778;3.12;3.1777777777777776;3.1644444444444444;3.2311111111111113;3.1662222222222227
950;3.128421052631579;3.103157894736842;3.170526315789474;3.0736842105263156;3.2042105263157894;3.1359999999999997
1000;3.16;3.116;3.136;3.204;3.12;3.1472
1050;3.1314285714285712;3.1619047619047618;3.1885714285714286;3.1314285714285712;3.1923809523809523;3.161142857142857
1100;3.2181818181818183;3.112727272727273;3.0072727272727273;3.152727272727273;3.098181818181818;3.1178181818181816
1150;3.1408695652173915;3.151304347826087;3.1339130434782607;3.2417391304347825;3.2556521739130435;3.184695652173913
1200;3.19;3.1233333333333335;3.0966666666666667;3.1533333333333333;3.07;3.1266666666666665
1250;3.1616;3.1488;3.1232;3.1328;3.0912;3.13152
1300;3.0584615384615383;3.1723076923076925;3.187692307692308;3.1353846153846154;3.166153846153846;3.1440000000000006
1350;3.1614814814814816;3.1614814814814816;3.0725925925925925;3.1644444444444444;3.2266666666666666;3.157333333333333
1400;3.1914285714285713;3.111428571428571;3.12;3.1028571428571428;3.14;3.1331428571428575
1450;3.147586206896552;3.1503448275862067;3.2055172413793103;3.0813793103448277;3.1448275862068966;3.1459310344827585
1500;3.088;3.1413333333333333;3.072;3.152;3.1226666666666665;3.1152
1550;3.0425806451612902;3.2206451612903226;3.1561290322580646;3.101935483870968;3.1432258064516128;3.1329032258064515
1600;3.21;3.145;3.1825;3.1775;3.0625;3.1555000000000004
1650;3.139393939393939;3.2096969696969695;3.0109090909090908;3.161212121212121;3.207272727272727;3.1456969696969694
1700;3.103529411764706;3.1341176470588237;3.164705882352941;3.164705882352941;3.0941176470588236;3.132235294117647
1750;3.12;3.0765714285714285;3.1474285714285712;3.085714285714286;3.158857142857143;3.1177142857142854
1800;3.171111111111111;3.1666666666666665;3.1444444444444444;3.088888888888889;3.18;3.150222222222222
1850;3.1437837837837836;3.1524324324324327;3.1935135135135133;3.076756756756757;3.107027027027027;3.1347027027027026
1900;3.191578947368421;3.1957894736842105;3.0757894736842104;3.1157894736842104;3.094736842105263;3.134736842105263
1950;3.1364102564102563;3.1651282051282053;3.195897435897436;3.083076923076923;3.1220512820512822;3.1405128205128205
2000;3.114;3.15;3.116;3.12;3.086;3.1172
2050;3.1453658536585367;3.137560975609756;3.147317073170732;3.1570731707317075;3.1551219512195123;3.148487804878049
2100;3.1161904761904764;3.1219047619047617;3.1161904761904764;3.137142857142857;3.125714285714286;3.1234285714285717
2150;3.0660465116279068;3.1646511627906975;3.1590697674418604;3.093953488372093;3.1106976744186046;3.1188837209302323
2200;3.1563636363636363;3.1545454545454548;3.1472727272727274;3.207272727272727;3.138181818181818;3.1607272727272724
2250;3.137777777777778;3.136;3.1982222222222223;3.192888888888889;3.1306666666666665;3.1591111111111116
2300;3.179130434782609;3.1443478260869564;3.111304347826087;3.1356521739130434;3.1652173913043478;3.147130434782609
2350;3.1336170212765957;3.164255319148936;3.0570212765957447;3.1217021276595744;3.1506382978723404;3.125446808510638
2400;3.111666666666667;3.16;3.11;3.1333333333333333;3.0816666666666666;3.119333333333333
2450;3.1379591836734693;3.12;3.177142857142857;3.186938775510204;3.1281632653061227;3.15004081632653
2500;3.2016;3.0976;3.1184;3.1552;3.1312;3.1408
2550;3.179607843137255;3.1482352941176472;3.156078431372549;3.1341176470588237;3.1215686274509804;3.147921568627451
2600;3.1769230769230767;3.210769230769231;3.149230769230769;3.1984615384615385;3.1276923076923078;3.172615384615385
2650;3.1426415094339624;3.2135849056603774;3.141132075471698;3.1290566037735847;3.1260377358490565;3.150490566037736
2700;3.1748148148148148;3.127407407407407;3.1303703703703705;3.140740740740741;3.137777777777778;3.1422222222222222
2750;3.101090909090909;3.092363636363636;3.1505454545454548;3.029818181818182;3.1374545454545455;3.1022545454545454
2800;3.13;3.1614285714285715;3.1342857142857143;3.138571428571429;3.192857142857143;3.1514285714285712
2850;3.1396491228070174;3.1242105263157893;3.128421052631579;3.1649122807017545;3.1466666666666665;3.1407719298245613
2900;3.1448275862068966;3.12551724137931;3.1806896551724138;3.1186206896551725;3.1379310344827585;3.14151724137931
2950;3.1688135593220337;3.1403389830508472;3.114576271186441;3.166101694915254;3.12;3.1419661016949147
3000;3.1426666666666665;3.172;3.1426666666666665;3.1293333333333333;3.1586666666666665;3.1490666666666667
3050;3.15672131147541;3.146229508196721;3.1239344262295083;3.1790163934426228;3.1147540983606556;3.1441311475409837
3100;3.1393548387096772;3.1174193548387095;3.12;3.1703225806451614;3.1703225806451614;3.1434838709677413
3150;3.113650793650794;3.1161904761904764;3.139047619047619;3.1352380952380954;3.194920634920635;3.1398095238095243
3200;3.1;3.115;3.185;3.13;3.115;3.1290000000000004
3250;3.1864615384615385;3.1864615384615385;3.1495384615384614;3.171692307692308;3.1236923076923078;3.1635692307692307
3300;3.1175757575757577;3.0933333333333333;3.2084848484848485;3.1503030303030304;3.16969696969697;3.147878787878788
3350;3.1128358208955222;3.1486567164179102;3.1486567164179102;3.1164179104477614;3.141492537313433;3.133611940298507
3400;3.1658823529411766;3.0823529411764707;3.14;3.1858823529411766;3.176470588235294;3.1501176470588232
3450;3.103768115942029;3.0944927536231885;3.0782608695652174;3.161739130434783;3.1339130434782607;3.1144347826086953
3500;3.152;3.125714285714286;3.1108571428571428;3.1645714285714286;3.152;3.1410285714285715
3550;3.106478873239437;3.16056338028169;3.1538028169014085;3.123380281690141;3.152676056338028;3.1393802816901406
3600;3.0644444444444443;3.1644444444444444;3.147777777777778;3.2288888888888887;3.117777777777778;3.1446666666666667
3650;3.153972602739726;3.174794520547945;3.0915068493150684;3.152876712328767;3.174794520547945;3.1495890410958904
3700;3.2172972972972973;3.1405405405405404;3.130810810810811;3.156756756756757;3.1437837837837836;3.157837837837838
3750;3.1530666666666667;3.1317333333333335;3.1498666666666666;3.1541333333333332;3.1338666666666666;3.144533333333333
3800;3.122105263157895;3.1589473684210527;3.1589473684210527;3.122105263157895;3.1673684210526316;3.1458947368421057
3850;3.1387012987012985;3.1542857142857144;3.149090909090909;3.165714285714286;3.149090909090909;3.151376623376623
3900;3.155897435897436;3.1702564102564104;3.1917948717948716;3.131282051282051;3.0984615384615384;3.1495384615384614
3950;3.111898734177215;3.09873417721519;3.1027848101265825;3.1149367088607596;3.118987341772152;3.1094683544303803
4000;3.155;3.107;3.137;3.148;3.181;3.1456000000000004
4050;3.1871604938271605;3.1565432098765434;3.122962962962963;3.1209876543209876;3.1012345679012348;3.137777777777778
4100;3.180487804878049;3.133658536585366;3.1570731707317075;3.084878048780488;3.16;3.1432195121951225
4150;3.170120481927711;3.153734939759036;3.16433734939759;3.1306024096385543;3.16144578313253;3.156048192771084
4200;3.1676190476190476;3.179047619047619;3.16;3.176190476190476;3.1228571428571428;3.161142857142857
4250;3.1341176470588237;3.143529411764706;3.1068235294117645;3.1256470588235294;3.171764705882353;3.1363764705882353
4300;3.1646511627906975;3.0986046511627907;3.129302325581395;3.1525581395348836;3.13953488372093;3.13693023255814
4350;3.156781609195402;3.130114942528736;3.1402298850574715;3.0997701149425287;3.1264367816091956;3.130666666666667
4400;3.117272727272727;3.1154545454545453;3.118181818181818;3.1436363636363636;3.1672727272727275;3.1323636363636367
4450;3.1658426966292135;3.150561797752809;3.140674157303371;3.1370786516853935;3.1451685393258426;3.1478651685393255
4500;3.120888888888889;3.0604444444444443;3.1244444444444444;3.137777777777778;3.12;3.1127111111111114
4550;3.127912087912088;3.1191208791208793;3.114725274725275;3.127032967032967;3.1683516483516483;3.1314285714285717
4600;3.161739130434783;3.1669565217391304;3.1652173913043478;3.123478260869565;3.1408695652173915;3.1516521739130434
4650;3.1561290322580646;3.1974193548387095;3.126021505376344;3.1070967741935482;3.163010752688172;3.149935483870968
4700;3.1523404255319147;3.1182978723404253;3.1106382978723404;3.131063829787234;3.1293617021276594;3.1283404255319147
4750;3.1452631578947368;3.1722105263157894;3.150315789473684;3.1722105263157894;3.1696842105263157;3.1619368421052627
4800;3.1691666666666665;3.1216666666666666;3.154166666666667;3.1458333333333335;3.14;3.146166666666667
4850;3.0837113402061855;3.1604123711340204;3.151340206185567;3.1529896907216495;3.162886597938144;3.142268041237114
4900;3.1510204081632653;3.165714285714286;3.1330612244897957;3.1412244897959183;3.1640816326530614;3.1510204081632653
4950;3.178181818181818;3.1595959595959595;3.1103030303030303;3.1103030303030303;3.1806060606060607;3.1477979797979794
5000;3.136;3.1392;3.1296;3.1296;3.1056;3.128
